home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Netherlands,Brazil,2,1,Quarter-finals,2010,2,8.0,1751.097835,6.0,1765.856297
Uruguay,Ghana,1,1,Quarter-finals,2010,1,16.0,1673.068603,73.0,1346.881205
Paraguay,Japan,0,0,Round of 16,2010,1,40.0,1505.349689,18.0,1661.576187
Spain,Portugal,1,0,Round of 16,2010,2,2.0,1873.013187,5.0,1766.177547
Netherlands,Slovakia,2,1,Round of 16,2010,2,8.0,1751.097835,47.0,1473.660727
Brazil,Chile,3,0,Round of 16,2010,2,6.0,1765.856297,55.0,1452.939983
Germany,England,4,1,Round of 16,2010,2,10.0,1735.771984,4.0,1827.048678
Argentina,Mexico,3,1,Round of 16,2010,2,1.0,1876.118331,14.0,1687.481759
Uruguay,Korea Republic,2,1,Round of 16,2010,2,16.0,1673.068603,25.0,1591.630886
Portugal,Brazil,0,0,Group stage,2010,1,5.0,1766.177547,6.0,1765.856297
Korea DPR,Côte d'Ivoire,0,3,Group stage,2010,0,120.0,1151.052136,33.0,1540.869533
Chile,Spain,1,2,Group stage,2010,0,55.0,1452.939983,2.0,1873.013187
Switzerland,Honduras,0,0,Group stage,2010,1,19.0,1650.064179,65.0,1378.970301
Paraguay,New Zealand,0,0,Group stage,2010,1,40.0,1505.349689,85.0,1275.581062
Slovakia,Italy,3,2,Group stage,2010,2,47.0,1473.660727,12.0,1704.733836
Denmark,Japan,1,3,Group stage,2010,0,21.0,1619.474248,18.0,1661.576187
Cameroon,Netherlands,1,2,Group stage,2010,0,44.0,1481.235245,8.0,1751.097835
Slovenia,England,0,1,Group stage,2010,0,59.0,1441.087158,4.0,1827.048678
Ghana,Germany,0,1,Group stage,2010,0,73.0,1346.881205,10.0,1735.771984
Australia,Serbia,2,1,Group stage,2010,2,27.0,1579.34264,43.0,1502.133186
Mexico,Uruguay,0,1,Group stage,2010,0,14.0,1687.481759,16.0,1673.068603
France,South Africa,1,2,Group stage,2010,0,3.0,1869.428449,60.0,1428.379282
Nigeria,Korea Republic,2,2,Group stage,2010,1,26.0,1586.688586,25.0,1591.630886
Greece,Argentina,0,2,Group stage,2010,0,48.0,1473.187305,1.0,1876.118331
Portugal,Korea DPR,7,0,Group stage,2010,2,5.0,1766.177547,120.0,1151.052136
Chile,Switzerland,1,0,Group stage,2010,2,55.0,1452.939983,19.0,1650.064179
Spain,Honduras,2,0,Group stage,2010,2,2.0,1873.013187,65.0,1378.970301
Slovakia,Paraguay,0,2,Group stage,2010,0,47.0,1473.660727,40.0,1505.349689
Italy,New Zealand,1,1,Group stage,2010,1,12.0,1704.733836,85.0,1275.581062
Brazil,Côte d'Ivoire,3,1,Group stage,2010,2,6.0,1765.856297,33.0,1540.869533
Netherlands,Japan,1,0,Group stage,2010,2,8.0,1751.097835,18.0,1661.576187
Ghana,Australia,1,1,Group stage,2010,1,73.0,1346.881205,27.0,1579.34264
Cameroon,Denmark,1,2,Group stage,2010,0,44.0,1481.235245,21.0,1619.474248
Germany,Serbia,0,1,Group stage,2010,0,10.0,1735.771984,43.0,1502.133186
England,Algeria,0,0,Group stage,2010,1,4.0,1827.048678,28.0,1571.033293
Argentina,Korea Republic,4,1,Group stage,2010,2,1.0,1876.118331,25.0,1591.630886
Greece,Nigeria,2,1,Group stage,2010,2,48.0,1473.187305,26.0,1586.688586
France,Mexico,0,2,Group stage,2010,0,3.0,1869.428449,14.0,1687.481759
